ABELLA DE LA CONCA,CATALUNYA,PALLARS JUSSÀ
ABRERA,CATALUNYA,BAIX LLOBREGAT
AFGANISTAN,INTERNACIONAL,---
ÀGER,CATALUNYA,NOGUERA
AGRAMUNT,CATALUNYA,URGELL
AGUILAR DE SEGARRA,CATALUNYA,BAGES
AGULLANA,CATALUNYA,ALT EMPORDÀ
AIGUAFREDA,CATALUNYA,VALLÈS ORIENTAL
AIGUAMÚRCIA,CATALUNYA,ALT CAMP
AIGUATÈBIA I TALAU,CATALUNYA,CONFLENT
AIGUAVIVA,CATALUNYA,GIRONÈS
AITONA,CATALUNYA,SEGRIÀ
ALÀS I CERC,CATALUNYA,ALT URGELL
ALBANYÀ,CATALUNYA,ALT EMPORDÀ
ALBATÀRREC,CATALUNYA,SEGRIÀ
ALBESA,CATALUNYA,NOGUERA
ALBINYANA,CATALUNYA,BAIX PENEDÈS
ALBONS,CATALUNYA,BAIX EMPORDÀ
ALCANAR,CATALUNYA,MONTSIÀ
ALCANÓ,CATALUNYA,SEGRIÀ
ALCARRÀS,CATALUNYA,SEGRIÀ
ALCOLETGE,CATALUNYA,SEGRIÀ
ALCOVER,CATALUNYA,ALT CAMP
ALDOVER,CATALUNYA,BAIX EBRE
ALELLA,CATALUNYA,MARESME
ALEMANYA,INTERNACIONAL,---
ALENYÀ,CATALUNYA,ROSSELLÓ
ALFARA DE CARLES,CATALUNYA,BAIX EBRE
ALFARRÀS,CATALUNYA,SEGRIÀ
ALFÉS,CATALUNYA,SEGRIÀ
ALFORJA,CATALUNYA,BAIX CAMP
ALGÈRIA,INTERNACIONAL,---
ALGERRI,CATALUNYA,NOGUERA
ALGUAIRE,CATALUNYA,SEGRIÀ
ALINS,CATALUNYA,PALLARS SOBIRÀ
ALIÓ,CATALUNYA,ALT CAMP
ALMACELLES,CATALUNYA,SEGRIÀ
ALMATRET,CATALUNYA,SEGRIÀ
ALMENAR,CATALUNYA,SEGRIÀ
ALMOSTER,CATALUNYA,BAIX CAMP
ALÒS DE BALAGUER,CATALUNYA,NOGUERA
ALP,CATALUNYA,CERDANYA
ALPENS,CATALUNYA,OSONA
ALPICAT,CATALUNYA,SEGRIÀ
ALT ÀNEU,CATALUNYA,PALLARS SOBIRÀ
ALTAFULLA,CATALUNYA,TARRAGONÈS
AMER,CATALUNYA,SELVA
AMPOSTA,CATALUNYA,MONTSIÀ
ANDALUSSIA,ESPANYA,---
ANDORRA,INTERNACIONAL,---
ANGLATERRA,INTERNACIONAL,---
ANGLÈS,CATALUNYA,SELVA
ANGLESOLA,CATALUNYA,URGELL
ANGOLA,INTERNACIONAL,---
ANGOSTRINA I VILANOVA DE LES ESCALDES,CATALUNYA,CERDANYA
ARÀBIA SAUDITA,INTERNACIONAL,---
ARAGÓ,ESPANYA,---
ARBECA,CATALUNYA,GARRIGUES
ARBOÇOLS,CATALUNYA,CONFLENT
ARBOLÍ,CATALUNYA,BAIX CAMP
ARBÚCIES,CATALUNYA,SELVA
ARENYS DE MAR,CATALUNYA,MARESME
ARENYS DE MUNT,CATALUNYA,MARESME
ARGELAGUER,CATALUNYA,GARROTXA
ARGELERS,CATALUNYA,ROSSELLÓ
ARGENÇOLA,CATALUNYA,ANOIA
ARGENTINA,INTERNACIONAL,---
ARGENTONA,CATALUNYA,MARESME
ARLES,CATALUNYA,VALLESPIR
ARNES,CATALUNYA,TERRA ALTA
ARRES,CATALUNYA,VALL D'ARAN
ARSÈGUEL,CATALUNYA,ALT URGELL
ARTÉS,CATALUNYA,BAGES
ARTESA DE LLEIDA,CATALUNYA,SEGRIÀ
ARTESA DE SEGRE,CATALUNYA,NOGUERA
ASCÓ,CATALUNYA,RIBERA D'EBRE
ASPA,CATALUNYA,SEGRIÀ
ASTURIES,ESPANYA,---
AUSTRÀLIA,INTERNACIONAL,---
ÀUSTRIA,INTERNACIONAL,---
AVIÀ,CATALUNYA,BERGUEDÀ
AVINYÓ,CATALUNYA,BAGES
AVINYONET DE PUIGVENTÓS,CATALUNYA,ALT EMPORDÀ
AVINYONET DEL PENEDÈS,CATALUNYA,ALT PENEDÈS
BADALONA,CATALUNYA,BARCELONÈS
BADIA DEL VALLÈS,CATALUNYA,VALLÈS OCCIDENTAL
BAGÀ,CATALUNYA,BERGUEDÀ
BAGES DE ROSSELLÓ,CATALUNYA,ROSSELLÓ
BAIX PALLARS,CATALUNYA,PALLARS SOBIRÀ
BAIXÀS,CATALUNYA,ROSSELLÓ
BALAGUER,CATALUNYA,NOGUERA
BALEARS,ESPANYA,---
BALENYÀ,CATALUNYA,OSONA
BALSARENY,CATALUNYA,BAGES
BANYERES DEL PENEDÈS,CATALUNYA,BAIX PENEDÈS
BANYOLES,CATALUNYA,PLA DE L'ESTANY
BANYULS DE LA MARENDA,CATALUNYA,ROSSELLÓ
BANYULS DELS ASPRES,CATALUNYA,ROSSELLÓ
BAÓ,CATALUNYA,ROSSELLÓ
BARBENS,CATALUNYA,PLA D'URGELL
BARBERÀ DE LA CONCA,CATALUNYA,CONCA DE BARBERÀ
